aab_e aba_e abb_e
C1	62.91	62.986	62.97
C2	33.672	33.718	33.718
C3	23.335	22.955	22.993
C4	34.575	33.247	34.461
C5	71.495	73.975	72.731
C6	76.926	78.291	76.903
C7	72.58	73.801	71.116
C8	36.986	35.803	37.062
C9	19.808	19.8	20.142
C10	14.529	14.522	14.499
H1	3.56	3.56	3.56
H5	3.81	3.59	3.59
H6	3.15	3.29	3.15
H7	3.61	3.59	3.82
H10	0.95	0.94	0.95
